Scan,Type,BCID,sigma,sigmaErr,Mean,MeanErr,CapSigma,CapSigmaErr,peak,peakErr,area,areaErr,fitStatus,chi2,ndof
1,X,3090,0.015621888043118166,1.7385508122843328e-05,-0.0012562692465700556,3.379145958975993e-05,0.0220926859404518,2.4586821376072644e-05,0.12470880879259208,0.00023513170765680546,0.006906143274386056,1.5120258316272623e-05,0,10.5075900155834,4
1,X,3091,0.015546724907867557,1.6318493854892417e-05,-0.0011157610024930401,2.6688489117950358e-05,0.021986389215189906,2.307783532709087e-05,0.12630122482440953,0.00022112139947270837,0.006960675826463995,1.4208750775704222e-05,0,42.116584022183034,4
1,X,3092,0.015579188333683172,1.2059706177507113e-05,-0.0011961287218655425,1.9314918280345655e-05,0.022032299432259442,1.7055000034465156e-05,0.12494919751361545,0.00014465062933884478,0.00690054243102636,9.60992936284878e-06,0,39.71493912689218,4
1,X,3093,0.01559768001974011,1.435557230852715e-05,-0.0011448120562925154,2.1261329036930086e-05,0.02205845062547231,2.0301845054346738e-05,0.12479021952319641,0.00019726323516861634,0.0068999427514286425,1.2621184809283792e-05,0,37.944335110075976,4
1,X,3094,0.01556095451244474,1.2147291592685792e-05,-0.0010339575986146403,1.9216561228101654e-05,0.022006512914970165,1.7178864516476924e-05,0.12540059457889252,0.000153592646699632,0.006917366094585109,1.004698698638994e-05,0,53.652639418760145,4
1,X,3095,0.01553697498098385,1.1113816422712418e-05,-0.0009857411333261392,2.0541153664071392e-05,0.021972600736358823,1.5717309914724738e-05,0.12634113346022244,0.00018094704224001928,0.006958508582512535,1.1139917741272164e-05,0,34.77974389336363,4
1,X,3096,0.015541713877281324,1.4190895231870551e-05,-0.0007923130850586332,2.6715846044521578e-05,0.021979302547773392,2.0068956499127022e-05,0.12610131381308326,0.0001462141605769656,0.006947418371350742,1.025340447794364e-05,0,30.351084340786535,4
1,X,3097,0.015700958571313567,1.668182818957117e-05,-0.0007534280741225787,3.287840244181836e-05,0.022204508553809742,2.3591667670869365e-05,0.12334828869309922,0.00017756269733407534,0.006865374431177686,1.2283214165157374e-05,0,19.64016484309229,4
1,X,3098,0.01568898713407924,1.7156468647822226e-05,-0.0006165598008736861,3.0304921552953136e-05,0.02218757838491186,2.4262910644178987e-05,0.12341540200985684,0.0002496712201639488,0.006863872395885751,1.578453460065135e-05,0,30.864865259715163,4
1,X,3099,0.01561236948942181,1.1315961328343497e-05,-0.0006748852272011126,2.4823226413865198e-05,0.02207922467272024,1.600318598183284e-05,0.12532023375302354,6.165091721156449e-05,0.006935774253575174,6.075665748625179e-06,0,41.92526203515469,4
1,X,3100,0.015610574816779394,1.3699827208355637e-05,-0.0007880815165081429,2.788885204293588e-05,0.022076686622329315,1.937448144022448e-05,0.12488706232072525,0.0001323201397074573,0.006911006111620103,9.507996081174296e-06,0,60.96412905868446,4
1,X,3101,0.01571827368902455,1.3432124216461665e-05,-0.0006867513352859515,2.5161344732268863e-05,0.0222289958281107,1.899589223840017e-05,0.12258219637627303,0.00019724652349578306,0.0068302590768442245,1.2444300298844395e-05,0,66.22019005579614,4
