Scan,Type,BCID,sigma,sigmaErr,sigmaRatio,sigmaRatio_Err,Frac,FracErr,Mean,MeanErr,CapSigma,CapSigmaErr,peak,peakErr,area,areaErr,fitStatus,chi2,ndof
1,X,1,0.100274176233588,0.000421382810184169,1.7426204478684375,0.24879752857626214,0.02171349506036191,0.015998060310500162,0.00548628657663722,0.0006023941534750373,0.14180909998533003,0.0005959252851133394,0.002581131476497386,1.6292762516947586e-05,0.0009174959627181843,6.957496812932047e-06,0,46.013182745183016,20
1,X,41,0.09722351652796732,0.0003539832418772512,1.7246351157437665,0.16713732521564773,0.029805327432509743,0.015582928502691745,0.006004355806455619,0.0005421476740860875,0.13749481565545615,0.0005006079015156044,0.0031441942308686197,1.4922177678210365e-05,0.00108364148749343,6.481980843898838e-06,0,30.537185668814733,20
1,X,81,0.0990189180057827,0.0003464743616949074,0.6244752602793625,0.08932263170471455,0.973135167440998,0.023596883618056286,0.00584589927081868,0.0005062114896039336,0.14003389677528738,0.0004899887413234992,0.003132517500832011,1.5283485562307643e-05,0.001099554130780257,6.601715936150876e-06,0,37.43123168028173,20
1,X,121,0.09739272884029002,0.00035975634437024063,0.5839796656847663,0.06100262810668494,0.9721728668192651,0.015821600228451305,0.006132857467018248,0.0005561350559338167,0.13773411800246343,0.00050877230135816,0.0031762213969688136,1.6005432647555077e-05,0.001096584829895309,6.851475192927792e-06,0,37.276782331559204,20
1,X,161,0.09620594289224844,0.00040568601486032363,1.421753293263275,0.07316536126213591,0.1093668700629924,0.05689299835298853,0.004787169250874367,0.0005709477708888173,0.13605574921910923,0.0005737266642805627,0.0032371260084524366,1.8629768795251894e-05,0.001103993299365216,7.876528668117849e-06,0,38.31125654351932,20
1,X,201,0.09768662216004236,0.00034755272288758323,1.6737139864908082,0.19986254736717635,0.02587636237739177,0.017693290877223822,0.004366076997911431,0.0005401778508719861,0.13814974592114804,0.0004915137743473182,0.003166506281489471,1.531747109170768e-05,0.001096529647861106,6.584479980896552e-06,0,20.025668741329294,20
1,X,241,0.0974781977244268,0.0003339964308960175,0.628480952495153,0.042840098022668915,0.9560049948665148,0.019808599029013274,0.005353313790469062,0.0004997342892731167,0.13785498925757056,0.00047234228235735624,0.003219953288446987,1.6624707523949173e-05,0.0011126587674339275,6.894613097476414e-06,0,37.64202890835697,20
1,X,281,0.09747165270049461,0.0003416597772547681,1.7120098879760195,0.17594233243959634,0.022013669845258932,0.01328356755876331,0.006107888925367236,0.0005606698346132709,0.1378457331959596,0.0004831798907110638,0.0031609318645695926,1.7045568619545584e-05,0.0010921905043898236,7.024616473977466e-06,0,19.116714442310386,20
1,X,872,0.09663867065951115,0.00037371383789878233,0.5114256197959901,0.07793590188167382,0.9871829878886933,0.008059619574085186,0.005544675481501548,0.0005728646305604219,0.13666771869638758,0.0005285111780029584,0.0032090378866219864,1.896431147071294e-05,0.0010993366928508906,7.764049084770738e-06,0,17.364630032429762,20
1,X,912,0.09740913461103949,0.00034844739007762726,1.5098630667759598,0.10114758130874535,0.05686010571795691,0.02958074343941755,0.006282264195767592,0.0004804499632300624,0.13775731926595852,0.0004927790248212887,0.0031918831820275852,1.8420902959787348e-05,0.0011021776637055553,7.483651335658997e-06,0,47.15324179083204,20
1,X,952,0.0981013578539312,0.000336466236211239,1.9445936270356914,0.2319117328797523,0.017739216230989008,0.008653370301032554,0.005579355063678835,0.0004827075673066676,0.13873627076424586,0.0004758351145305636,0.003162439793776079,1.4402332565983163e-05,0.0010997708818013972,6.270043859603756e-06,0,27.647634063492966,20
1,X,992,0.09703183904957904,0.00034682679697057076,2.001528828279825,0.2724492152038698,0.013340004997509536,0.0072723067429938115,0.00602521590041608,0.0005469098007546593,0.13722374276591798,0.0004904871600702011,0.003191038017736425,1.721599005517641e-05,0.0010976178801141566,7.103481481481809e-06,0,24.927088550629943,20
1,X,1032,0.09712007453353264,0.0003671281054366439,1.7013153085860235,0.15678688594790502,0.030818664233452087,0.016019687426753804,0.004741099707304751,0.0005426900369913645,0.1373485265840077,0.0005191975458368414,0.0032235101548160464,1.7160769428319674e-05,0.0011097955567583918,7.2460832126812115e-06,0,23.63754782765727,20
1,X,1072,0.09783169119608578,0.00031845254622155263,1.5547494196675706,0.10133882883389644,0.053807280818434,0.02466804186771307,0.0064095769275166695,0.0004996709992971484,0.13835490451940105,0.00045035990983876466,0.003188513296150662,1.4079872467071854e-05,0.001105790171460055,6.066254857369677e-06,0,22.272051913602652,20
1,X,1112,0.09782259033410151,0.0003654007533787797,0.6728066297523279,0.05435606435568946,0.9380131777027839,0.03987904350277649,0.004893542845536452,0.0004906465368665327,0.1383420339569536,0.0005167547011296168,0.0031726774056231783,1.7646668498449156e-05,0.0011001958602671208,7.371266954306913e-06,0,37.31518972096981,20
1,X,1152,0.09714377002445287,0.0003402391966584763,0.5835396046601998,0.05345595470397335,0.9731596308039808,0.013740116136155944,0.005133597053805528,0.0005094536125758193,0.1373820370686342,0.0004811708863653438,0.0031653865385869754,1.5862173163952963e-05,0.0010900505465179814,6.6643435382158495e-06,0,16.461587979887494,20
1,X,1783,0.09681242958877997,0.00036977472968929896,0.7179455244031113,0.03403697090882113,0.8786215255812695,0.062240275621626706,0.004988356251478527,0.0005308090005925073,0.13691345093074297,0.0005229404377494518,0.0032119305045941802,1.7967343714102996e-05,0.0011023060506176734,7.46650304470434e-06,0,47.04887780820136,20
1,X,1823,0.09718372360204662,0.0003796435896446464,0.6368730278843748,0.04705503686095669,0.9557395443228005,0.023102354103977485,0.006006308854796173,0.0005527002031497344,0.1374385399599326,0.0005368971133434649,0.0032041520921698595,1.9038613298955108e-05,0.001103853883108769,7.849482688721658e-06,0,25.38241106112497,20
1,X,1863,0.09640178552791384,0.0002749849797526977,1.6137063825799811,0.11324546504537691,0.043856638736019304,0.019737219352363083,0.006024868595847052,0.0004440986130575521,0.13633271253055812,0.00038888748781515603,0.0032534323524289993,1.5972817258834773e-05,0.0011118131103953234,6.31292101522893e-06,0,32.62937056746168,20
1,X,1903,0.09654452852923716,0.00032116359444119284,0.6050268368831961,0.04690016963148308,0.9638832900471398,0.016662815647955465,0.005949196560295176,0.0004818492146579514,0.1365345816189634,0.0004541939109992273,0.0031995408912109413,1.5743752761575866e-05,0.0010950154907488775,6.503945477551852e-06,0,29.5073550213248,20
1,X,1943,0.09668848125075152,0.00038046634376891555,0.7004071078201316,0.03538454428801946,0.8965224066009752,0.05236038198525883,0.005080750033485309,0.0005722578011006643,0.13673816151006954,0.0005380606633845047,0.003251940128401899,1.8860221354739977e-05,0.0011146081434413393,7.811830048421942e-06,0,28.454114522694944,20
1,X,1983,0.09733937254348492,0.0003403351056905108,0.6190306270267038,0.07071661395786105,0.9715303150214182,0.020886143369942767,0.005217656824619636,0.0004893167102790052,0.13765866080388364,0.0004813065222192011,0.0031813184615386327,1.708945199148295e-05,0.0010977428578525436,7.0359270137753506e-06,0,36.36746478371899,20
1,X,2023,0.09670002878359213,0.00034233292535857296,1.5303451034242788,0.0769822659648417,0.05807090852553193,0.0228732144784817,0.00529033362469175,0.000516261568294483,0.13675449218762467,0.00048413186588895033,0.0032426813312821556,1.613085021022107e-05,0.0011115674135605842,6.786821410636404e-06,0,37.94908798191083,20
1,X,2063,0.09666452780903297,0.00034485552380480615,0.6520129952214225,0.05124838832498879,0.9566607766247311,0.024568596889418703,0.005514553394187898,0.0005080591860051101,0.13670428622792563,0.00048769935882403463,0.003228454111229575,1.8227376974488084e-05,0.0011062841332614643,7.388376949664473e-06,0,26.672694020166734,20
